,ID,Task,Client,Area,Country,Contact,Assignee,Completion,Start date,Deadline,Budget,Transaction type,Account,Version,Available
,0,Task #1,Altenwerth - Schuster,Markets,Liechtenstein,Dallas_Schmitt56@example.com,Wayne Krajcik, 95%,22.04.2022,19.09.2022,"6 581,95 €",payment,PL67098600353392807290050038,3.7.4,
,1,Task #2,"Douglas, Schuppe and Gottlieb",Tactics,Ukraine,Sasha18@example.com,Felipe Marks, 7%,08.05.2022,26.06.2022,"1 782,60 €",invoice,SA248674274AF6W110U115O3,3.9.3,
,2,Task #3,Boyle - Walter,Accounts,Norfolk Island,Edgar.Kub@example.net,Natasha D'Amore, 1%,13.03.2022,06.08.2022,"2 768,92 €",deposit,SI83241158019181691,2.4.0,
,3,Task #4,Welch - Gorczany,Communications,Guinea-Bissau,Bennett_Anderson54@example.org,Erica Schneider, 58%,12.03.2022,10.07.2022,"4 482,96 €",withdrawal,AL0677080178959965FAZ40D0060,6.6.8,
,4,Task #5,Jacobs and Sons,Response,Malta,Dariana_Nitzsche@example.com,Angelo Larkin, 45%,23.02.2022,06.08.2022,"3 754,61 €",withdrawal,GT177521917Q0PH9426795477M57,3.6.0,
,5,Task #6,Kshlerin Group,Communications,Russian Federation,Jarvis_Bednar@example.org,Ronald Heathcote, 87%,05.05.2022,24.08.2022,"3 181,03 €",invoice,TN2407502687082009452002,8.2.9,
,6,Task #7,Franecki - Stehr,Tactics,Tonga,Estel_Franey94@example.net,Teri Torphy, 53%,06.05.2022,12.09.2022,"2 731,74 €",withdrawal,FO7340030053056778,6.1.6,
,7,Task #8,"Bergnaum, Schultz and Torp",Functionality,Lesotho,Eusebio_Reynolds14@example.org,Mrs. Philip Donnelly, 34%,08.03.2022,02.08.2022,"8 256,96 €",deposit,EE244894650022009207,9.3.3,
,8,Task #9,Champlin - Jast,Infrastructure,Japan,Kyle.Runolfsson53@example.org,Abraham Cummings, 18%,31.03.2022,19.07.2022,"3 962,17 €",payment,CZ6710390900933002200947,9.7.7,
,9,Task #10,Windler Group,Mobility,Saint Lucia,Jeramie36@example.net,Guadalupe Lueilwitz, 52%,04.05.2022,10.08.2022,"10 867,31 €",withdrawal,RO58DOXA32P4922X5K0D6545,3.5.6,
,10,Task #11,"Hackett, Haag and Gibson",Program,Qatar,Euna21@example.net,Opal Lockman, 17%,06.03.2022,24.06.2022,"7 052,46 €",withdrawal,CH8850955QH3654698873,7.1.1,
,11,Task #12,Howe and Sons,Assurance,Kyrgyz Republic,Bernardo.Schroeder@example.net,Owen Halvorson, 5%,21.04.2022,28.06.2022,"9 509,64 €",invoice,IE56020302985820900498,2.3.8,
